a2ps	4.14	Any-to-PostScript filter
dcled	2.2	Linux driver for dream cheeky USB message board
dcmtk	3.6.1_20150629	OFFIS DICOM toolkit command-line utilities
dcraw	9.26.0	Digital camera RAW photo decoding software
ddar	v1.0	De-duplicating archiver
ddate	v0.2.2	Converts boring normal dates to fun Discordian Date
ddclient	3.8.3	Update dynamic DNS entries
ddrescue	1.20	GNU data recovery tool
debianutils	4.5.1	Miscellaneous utilities specific to Debian
deheader	1.2	Analyze C/C++ files for unnecessary headers
deis	v1.10.0	Deploy and manage applications on your own servers
deisctl	v1.10.0	Deis Control Utility
deja-gnu	1.5.3	Framework for testing other programs
delta	2006.08.03	Programatically minimize files to isolate features of interest
denominator	4.7.1	Portable Java library for manipulating DNS clouds
dependency-check	1.3.1	OWASP Dependency Check
depqbf	4.01	Solver for quantified boolean formulae (QBF)
desktop-file-utils	0.22	Command-line utilities for working with desktop entries
detox	1.2.0	Utility to replace problematic characters in filenames
devil	1.7.8	Cross-platform image library
devtodo	0.1.20	Command-line task lists
dex	v1.0	Dextrous text editor
dex2jar	2.0	Tools to work with and reverse-engineer Android .dex and Java .class files
dfc	3.0.5	Display graphs and colors of file system space/usage
dfix	v0.2.2	Auto-upgrade tool for D source code
dfu-programmer	0.7.2	Device firmware update based USB programmer for Atmel chips
dfu-util	0.8	USB programmer
dhcpdump	1.8	Monitor DHCP traffic for debugging purposes
dhcping	1.2	Perform a dhcp-request to check whether a dhcp-server is running
dhex	0.68	Ncurses based advanced hex editor featuring diff mode and more
di	4.36	Advanced df-like disk information utility
dialog	1.2-20150528	Display user-friendly dialog boxes from shell scripts
dict	1.12.1	Dictionary Server Protocol (RFC2229) client
diction	1.11	GNU diction and style
dieharder	3.31.1	Random number test suite
diff-pdf	v0.2	Visually compare two PDF files
diffuse	0.4.8	Graphical tool for merging and comparing text files
dirac	1.0.2	General-purpose video codec aimed at a range of resolutions
dircproxy	1.2.0	IRC proxy server (AKA 'bouncer')
direnv	v2.7.0	Load/unload environment variables based on $PWD
dirmngr	1.1.1	Server for managing certificate revocation lists
dirt	1.0	Experimental sample playback
disco	0.5.4	Distributed computing framework based on the MapReduce paradigm
discodex	2012-01-10	Distributed indices for disco
discount	2.1.8a	C implementation of Markdown
disktype	9	Detect content format of a disk or disk image
distcc	3.2rc1	Distributed compiler client and server
distribution	v1.2.1	Create ASCII graphical histograms in the terminal
ditaa	0.9	Convert ASCII diagrams into proper bitmap graphics
djbdns	1.05	D.J. Bernstein's DNS tools
djview4	4.10.3	Viewer for the DjVu image format
djvu2pdf	0.9.2	Small tool to convert Djvu files to PDF files
djvulibre	3.5.27	DjVu viewer
dmalloc	5.5.2	Debug versions of system memory management routines
dmd	v2.068.2	D programming language compiler for OS X
dmtx-utils	0.7.4	Read and write data matrix barcodes
dns2tcp	0.5.2	TCP over DNS tunnel
dnscrypt-proxy	1.6.0	Secure communications between a client and a DNS resolver
dnscrypt-wrapper	v0.2	Server-side proxy that adds dnscrypt support to name resolvers
dnsmap	0.30	Passive DNS network mapper (a.k.a. subdomains bruteforcer)
dnsmasq	2.75	Lightweight DNS forwarder and DHCP server
dnsperf	2.0.0.0	Measure DNS performance by simulating network conditions
dnsrend	0.08	DNS message dissector
dnstop	20140915	Console tool to analyze DNS traffic
dnstracer	1.9	Trace a chain of DNS servers to the source
docbook	5.0	Standard SGML representation system for technical documents
docbook-xsl	1.78.1	XML vocabulary to create presentation-neutral documents
docbook2x	0.8.8	Convert DocBook to UNIX manpages and GNU TeXinfo
docker	v1.8.2	Pack, ship and run any application as a lightweight container
docker-compose	1.4.2	Isolated development environments using Docker
docker-machine	v0.4.1	Create Docker hosts locally and on cloud providers
docker-swarm	v0.4.0	Turn a pool of Docker hosts into a single, virtual host
dockutil	2.0.2	Tool for managing dock items
doitlive	2.3.1	Replay stored shell commands for live presentations
dos2unix	7.3	Convert text between DOS, UNIX, and Mac formats
double-conversion	v1.1.5	Binary-decimal and decimal-binary routines for IEEE doubles
doublecpp	0.6.3	Double dispatch in C++
doubledown	v0.0.2	Sync local changes to a remote directory
dovecot	2.2.18	IMAP/POP3 server
doxygen	1.8.10	Generate documentation for several programming languages
doxymacs	1.8.0	Elisp package for using doxygen under Emacs
dpkg	1.18.2	Debian package management system
drake	1.0.1	Data workflow tool meant to be 'make for data'
drip	0.2.4	JVM launching without the hassle of persistent JVMs
dropbear	2015.68	Small SSH server/client for POSIX-based system
dsd	v1.6.0	Decoder for several digital speech formats
dsh	0.25.9	Dancer's shell, or distributed shell
dsocks	1.8	SOCKS client wrapper for *BSD/OS X
dspdfviewer	v1.13.1	Dual-Screen PDF Viewer for latex-beamer
dtach	0.8	Emulates the detach feature of screen
dtc	1.4.0	Device tree compiler
dterm	0.3	Terminal emulator for use with xterm and friends
dtrx	7.1	Intelligent archive extraction
dub	v0.9.24	Build tool for D projects
duck	4.7.2.18007	Command-line interface for Cyberduck (a multi-protocol file transfer tool)
duff	0.5.2	Quickly find duplicates in a set of files from the command-line
duo_unix	1.9.13	Two-factor authentication for SSH
duplicity	0.6.26	Bandwidth-efficient encrypted backup
duply	1.9.1	Frontend to the duplicity backup system
duti	1.5.3	Select default apps for documents and URL schemes on OS X
dvd+rw-tools	7.1	DVD+-RW/R tools
dvdauthor	0.7.1	DVD-authoring toolset
dvdbackup	0.4.2	Rip DVD's from the command-line
dvdrtools	0.2.1	Fork of cdrtools DVD writer support
dvorak7min	1.6.1	Dvorak (simplified keyboard layout) typing tutor
dvtm	0.14	Dynamic Virtual Terminal Manager
dwarf	0.3.0	Object file manipulation tool
dwarf-fortress	0.28.181.40d	Open-ended rogelike game
dwarfutils	20150507	lib and utility to dump and produce DWARF debug info in ELF objects
dwatch	0.1.1	Watch programs and perform actions based on a configuration file
dwdiff	2.1.0	Diff that operates at the word level
dxflib	2.5.0.0-1	C++ library for parsing DXF files
dyld-headers	239.4	Header files for the dynamic linker
dylibbundler	0.4.4	Utility to bundle libraries into executables for OS X
dynamips	v0.2.15	Cisco 7200/3600/3725/3745/2600/1700 Router Emulator
dynamodb-local	2015-07-16_1.0	Cient-side database and server imitating DynamoDB
e2fsprogs	1.42.13	Utilities for the ext2, ext3, and ext4 file systems
easy-git	1.7.5.2	Wrapper to simplify learning and using git
ebook-tools	0.2.2	Access and convert several ebook formats
ec2-ami-tools	1.5.7	Amazon EC2 AMI Tools (helps bundle Amazon Machine Images)
ec2-api-tools	1.7.4.0	Client interface to the Amazon EC2 web service
ecasound	2.9.1	Multitrack-capable audio recorder and effect processor
echoprint-codegen	v4.12	Codegen for Echoprint
ecj	4.9	Standalone version of the Eclipse Java compiler
ecl	16.0.0	Embeddable Common Lisp
ecm	1.0	Prepare CD image files so they compress better
edelta	0.10b	XDelta-style binary differ
editorconfig	0.12.0	Maintain consistent coding style between multiple editors
ee	1.4.6	Terminal (curses-based) text editor with pop-up menus
eet	1.7.10	Library for writing arbitrary chunks of data to a file using compression
efl	1.14.2	Libraries for the Enlightenment window manager
eigen	3.2.5	C++ template library for linear algebra
eina	1.7.10	Eina is a core data structure and common utility library
ejabberd	15.07	XMPP application server
ejdb	v1.2.10	C library based on modified version of Tokyo Cabinet
ekg2	0.3.1	Multiplatform, multiprotocol, plugin-based instant messenger
ekhtml	0.3.2	Forgiving SAX-style HTML parser
elasticsearch	1.7.2	Distributed real-time search & analytics engine for the cloud
elb-tools	1.0.35.0	Client interface to the Amazon Elastic Load Balancing web service
elementary	1.14.0	Widgets and high level abstractions from the Enlightenment window manager
elinks	0.11.7	Text mode web browser
elixir	v1.1.1	Functional metaprogramming aware language built on Erlang VM
elixir-build	v20141001	Elixir version of ruby-build
emacs	24.5	GNU Emacs text editor
emacs-clang-complete-async	v0.5	Emacs plugin using libclang to complete C and C++ code
embryo	1.7.10	Version of the original Small abstract machine
embulk	0.7.4	Data transfer between various databases, file formats and services
emscripten	1.34.6	LLVM bytecode to JavaScript compiler
enca	1.16	Charset analyzer and converter
enchant	1.6.0	Spellchecker wrapping library
enet	1.3.13	Provides a network communication layer on top of UDP
engine_pkcs11	0.1.8	Implementation of OpenSSL engine interface
enscript	1.6.6	Convert text to Postscript, HTML, or RTF, with syntax highlighting
ent	1.0	Pseudorandom number sequence test program
entr	3.2	Run arbitrary commands when files change
envchain	v0.2.0	Secure your credentials in environment variables
envv	v1.7	Shell-independent handling of environment variables
eot-utils	1.1	Tools to convert fonts from OTF/TTF to EOT format
epeg	v0.9.1.042	JPEG/JPG thumbnail scaling
epic5	1.2.0	Enhanced, programmable IRC client
eprover	1.8	Theorem prover for full first-order logic with equality
epsilon	0.9.2	Powerful wavelet image compressor
epstool	3.08	Edit preview images and fix bounding boxes in EPS files
epubcheck	3.0.1	Validate IDPF EPUB files, version 2.0 and later
erlang	18.1	Erlang Programming Language
es	0.9	Extensible shell with first class functions, lexical scoping, and more
esniper	2.31	Snipe eBay auctions from the command-line
esound	0.2.41	Enlightened sound daemon
espeak	1.48.04	Text to speech, software speech synthesizer
etcd	v2.1.2	Key value store for shared configuration and service discovery
etl	0.04.18	Extensible Template Library
ettercap	v0.8.2	Multipurpose sniffer/interceptor/logger for switched LAN
euca2ools	v3.2.1	Eucalyptus client API tools-works with Amazon EC2 and IAM
euler-py	v1.2.3	Project Euler command-line tool written in Python
evas	1.7.10	Display canvas API that implements a scene graph
evas-generic-loaders	1.14.0	Extra image loaders for complex image types for Enlightenment
eventlog	0.2.13	Replacement for syslog API providing structure to messages
evince	3.18.0	GNOME document viewer
ex-vi	050325	UTF8-friendly version of tradition vi
exact-image	0.9.1	Image processing library
exempi	2.2.2	Library to parse XMP metadata
exenv	v0.1.0	Elixir versions management tool
exercism	v2.2.1	command-line tool to interact with exercism.io
exif	0.6.21	Read, write, modify, and display EXIF data on the command-line
exiftags	1.01	Utility to read EXIF tags from a digital camera JPEG file
exiftool	10.01	Perl lib for reading and writing EXIF metadata
exim	4.85	Complete replacement for sendmail
exiv2	0.25	EXIF and IPTC metadata manipulation library and tools
exodriver	v2.5.3	Thin interface to LabJack devices
expat	2.1.0	XML 1.0 parser
extract_url	 	Perl script to extracts URLs from emails or plain text.
eye-d3	0.7.8	Work with ID3 metadata in .mp3 files
ezlupdate	v2015.01.3	Create .ts files for eZ publish
ezstream	0.6.0	Client for Icecast streaming servers
f3	v5.0	Test various flash cards
faac	1.28	ISO AAC audio encoder
faad2	2.7	ISO AAC audio decoder
fabric	1.10.2	Library and command-line tool for SSH
fail2ban	0.8.14	Scan log files and ban IPs showing malicious signs
fakeroot	1.20.2	Provide a fake root environment
falcon	0.9.6.8	Multi-paradigm programming language and scripting engine
fantom	1.0.67	Object oriented, portable programming language
fasd	1.0.1	CLI tool for quick access to files and directories
fastbit	2.0.2	Open-source data processing library in NoSQL spirit
fastjar	0.94	Implementation of Sun's jar tool
fatsort	1.3.365	Sorts FAT16 and FAT32 partitions
fb-adb	1.4.4	Shell for Android devices that does much of what adb does and more
fb-client	1.5.0	Shell-script client for http://paste.xinu.at
fbida	2.10	View and edit photo images
fcgi	2.4.0	Protocol for interfacing interactive programs with a web server
fcgiwrap	1.1.0	CGI support for Nginx
fcrackzip	1.0	Zip password cracker
fdclone	3.01b	Console-based file manager
fdk-aac	0.1.4	Standalone library of the Fraunhofer FDK AAC code from Android
fdk-aac-encoder	0.6.2	Command-line encoder frontend for libfdk-aac
fdupes	1.51	Identify or delete duplicate files
fetch-crl	3.0.16	Retrieve certificate revocation lists (CRLs)
fetchmail	6.3.26	fetch mail from a POP, IMAP, ETRN, or ODMR-capable server
fex	2.0.0	Powerful field extraction tool
ffe	0.3.5	Parse flat file structures and print them in different formats
ffind	v0.3.2	Friendlier find
ffmbc	0.7.2	FFmpeg customized for broadcast and professional usage
ffmpeg	2.8	Play, record, convert, and stream audio and video
ffmpeg2theora	0.29	Convert video files to Ogg Theora format
ffmpegthumbnailer	2.0.10	Create thumbnails for your video files
ffms2	2.21	Libav/ffmpeg based source library and Avisynth plugin
ffts	0.7	C library that computes the discrete Fourier transform
fftw	3.3.4	C routines to compute the Discrete Fourier Transform
fibjs	0.1.6	JavaScript on Fiber
ficy	1.0.19	Icecast/Shoutcast stream grabber suite
figlet	2.2.5	Banner-like program prints strings as ASCII art
file-roller	3.16.4	GNOME archive manager
finatra	1.5.3	Scala web framework inspired by Sinatra
findbugs	3.0.1	Find bugs in Java programs through static analysis
findutils	4.4.2	Collection of GNU find, xargs, and locate
fio	2.2.9	I/O benchmark and stress test
fish	2.7.1	User-friendly command-line shell for UNIX-like operating systems
fits	0.8.6-1	File Information Tool Set
fizsh	1.0.8	Fish-like front end for ZSH
flac	1.3.1	Free lossless audio codec
flac123	123-0.0.12	Command-line program for playing FLAC audio files
flactag	2.0.4	Tag single album FLAC files with MusicBrainz CUE sheets
flake	0.11	FLAC audio encoder
flashrom	0.9.8	Identify, read, write, verify, and erase flash chips
flasm	1.62	Flash command-line assembler and disassembler
flatbuffers	v1.1.0	Serialization library for C++, supporting Java, C#, and Go
flawfinder	1.31	Examines code and reports possible security weaknesses
fleet-db	0.2.0	Schema-free database optimized for agile development
fleetctl	v0.11.5	Distributed init system
flex	2.5.39	Fast Lexical Analyzer, generates Scanners (tokenizers)
flickcurl	1.26	Library for the Flickr API
flow	v0.16.0	Static type checker for JavaScript
flow-tools	0.68.5.1	Collect, send, process, and generate NetFlow data reports
